Name,playerId,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,LHH_OPS,LHH_HR/9,LHH_SO/BB,LHH_ERA,LHH_WHIP
Josh Osich,11528,CHW,31.1,115,3.4468,19,5,0,12,12,5,4,0,0,30,0.171171171,0.2,0.351351351,0.229292564,0.551351351,1.446945338,7.5,3.4468,0.739549839
Heath Hembree,11632,BOS,16.1,71,4.9592,14,4,3,10,9,4,8,2,0,17,0.222222222,0.309859154,0.571428571,0.347281685,0.881287725,2.236024845,2.125,4.9592,1.366459627
Carlos Martinez,11682,STL,20.2,88,4.7903,18,4,0,12,11,1,9,1,1,24,0.236842105,0.32183908,0.328947368,0.283170457,0.650786448,0.445544554,2.666666667,4.7903,1.336633663
Tayron Guerrero,11691,MIA,17.2,92,7.6415,19,4,0,15,15,4,16,0,3,21,0.263888888,0.413043478,0.486111111,0.384704793,0.899154589,2.093023256,1.3125,7.6415,2.034883721
Nick Kingham,11694,2 Tms,16.2,77,7.56,24,6,0,14,14,4,5,0,0,13,0.333333333,0.376623376,0.583333333,0.398494855,0.959956709,2.222222222,2.6,7.56,1.790123457
Sam Dyson,11710,2 Tms,23.2,97,2.662,20,3,0,9,7,3,5,0,2,23,0.224719101,0.28125,0.359550561,0.27638549,0.640800561,1.163793103,4.6,2.662,1.077586207
Luke Jackson,11752,ATL,32,117,2.8125,17,3,0,12,10,5,9,2,0,44,0.157407407,0.222222222,0.324074074,0.22614087,0.546296296,1.40625,4.888888889,2.8125,0.8125
Kyle Ryan,11753,CHC,25.1,103,2.1316,21,3,1,6,6,0,9,0,0,24,0.225806451,0.291262135,0.279569892,0.25412604,0.570832027,0,2.666666667,2.1316,1.195219124
Hansel Robles,11801,LAA,34.1,132,2.6214,28,7,0,10,10,2,6,1,0,40,0.225806451,0.257575757,0.330645161,0.247097192,0.588220918,0.527859238,6.666666667,2.6214,0.997067449
Hector Neris,11804,PHI,31.1,125,3.4468,18,2,0,12,12,5,15,1,1,37,0.166666666,0.272,0.324074074,0.258709902,0.596074074,1.446945338,2.466666667,3.4468,1.061093248
Chris Martin,11847,2 Tms,27.2,101,2.6024,20,2,0,9,8,5,1,0,0,35,0.202020202,0.207920792,0.373737373,0.238873246,0.581658165,1.654411765,35,2.6024,0.772058824
Michael Feliz,11903,PIT,27.1,111,2.3049,17,4,1,9,7,4,15,1,0,27,0.178947368,0.288288288,0.368421052,0.279770889,0.65670934,1.328413284,1.8,2.3049,1.180811808
Taylor Cole,11964,LAA,18.2,83,4.3393,18,4,0,9,9,1,12,3,1,20,0.257142857,0.373493975,0.357142857,0.313036923,0.730636832,0.494505495,1.666666667,4.3393,1.648351648
Matt Andriese,12022,ARI,29.2,132,6.0674,26,8,2,20,20,4,15,3,1,31,0.228070175,0.320610687,0.438596491,0.312402547,0.759207178,1.232876712,2.066666667,6.0674,1.404109589
Brian Flynn,12027,KCR,12.1,51,2.9189,12,2,0,4,4,0,6,1,0,10,0.272727272,0.36,0.318181818,0.297568849,0.678181818,0,1.666666667,2.9189,1.487603306
Felipe Vazquez,12076,PIT,13.2,53,1.3171,9,3,1,2,2,1,3,0,3,25,0.191489361,0.283018867,0.361702127,0.2797265,0.644720994,0.681818182,8.333333333,1.3171,0.909090909
Yimi Garcia,12095,LAD,23.2,88,4.5634,14,2,1,13,12,7,4,1,1,21,0.170731707,0.218390804,0.475609756,0.276832849,0.69400056,2.715517241,5.25,4.5634,0.775862069
Parker Markel,12106,2 Tms,10.2,52,3.375,12,4,0,5,4,3,8,1,1,15,0.279069767,0.403846153,0.581395348,0.403619194,0.985241501,2.647058824,1.875,3.375,1.960784314
Cody Allen,12183,LAA,10,53,8.1,10,1,0,9,9,5,11,0,0,14,0.243902439,0.396226415,0.634146341,0.414830439,1.030372756,4.5,1.272727273,8.1,2.1
Aaron Brooks,12272,2 Tms,15.1,62,2.9348,10,3,0,5,5,3,5,0,2,10,0.181818181,0.274193548,0.4,0.287692489,0.674193548,1.78807947,2,2.9348,0.993377483
Evan Marshall,12297,CHW,18.2,78,1.4464,15,4,0,4,3,0,10,2,0,12,0.220588235,0.32051282,0.279411764,0.262561747,0.599924584,0,1.2,1.4464,1.373626374
Jacob Barnes,12323,2 Tms,12.1,63,2.1892,12,2,0,4,3,0,9,1,0,10,0.222222222,0.333333333,0.259259259,0.268576728,0.592592592,0,1.111111111,2.1892,1.73553719
Seth Lugo,12447,NYM,33.2,129,2.1386,20,4,1,8,8,4,8,3,1,41,0.166666666,0.224806201,0.316666666,0.221350675,0.541472867,1.084337349,5.125,2.1386,0.843373494
Blake Treinen,12572,OAK,29,132,4.6552,29,6,0,16,15,5,16,1,1,27,0.254385964,0.351145038,0.438596491,0.336340231,0.789741529,1.551724138,1.6875,4.6552,1.551724138
Nick Ramirez,12575,DET,27.2,117,2.6024,24,3,1,11,8,2,12,0,0,22,0.23076923,0.307692307,0.336538461,0.282004659,0.644230768,0.661764706,1.833333333,2.6024,1.323529412
DJ Johnson,12578,COL,12,51,3.75,12,4,0,5,5,0,6,2,0,15,0.266666666,0.352941176,0.355555555,0.297646795,0.708496731,0,2.5,3.75,1.5
Adam Morgan,12580,PHI,14.1,56,3.7675,7,1,1,6,6,0,4,1,3,17,0.142857142,0.25,0.204081632,0.205859041,0.454081632,0,4.25,3.7675,0.780141844
Mike Wright,12586,2 Tms,10.2,56,2.5312,15,3,0,4,3,1,8,1,1,10,0.319148936,0.428571428,0.44680851,0.376481566,0.875379938,0.882352941,1.25,2.5312,2.254901961
Roenis Elias,12673,2 Tms,11.2,67,9.2571,21,1,0,14,12,5,9,0,0,11,0.368421052,0.454545454,0.649122807,0.457137943,1.103668261,4.017857143,1.222222222,9.2571,2.678571429
Ryne Harper,12680,MIN,26,107,3.4615,27,7,1,11,10,3,5,0,0,30,0.264705882,0.29906542,0.44117647,0.310555719,0.74024189,1.038461538,6,3.4615,1.230769231
Adrian Houser,12718,MIL,11.2,48,0.7714,8,1,1,1,1,0,6,1,0,15,0.2,0.291666666,0.275,0.242867995,0.566666666,0,2.5,0.7714,1.25
