"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"John Gant","Cardinals","11","1","3.66","64","0","0","0","3","18","3","66.1","269","51","29","27","4","34","1","0","1","0","60","13684"
"Tyler Chatwood","Cubs","4","2","3.67","33","0","0","0","2","3","2","54.0","226","44","22","22","6","25","0","2","7","0","53","4338"
"Tommy Kahnle","Yankees","3","2","3.67","72","0","0","0","0","27","5","61.1","248","45","27","25","9","20","0","2","8","0","88","11384"
"Buck Farmer","Tigers","6","6","3.70","72","0","0","0","0","15","3","65.2","279","60","31","27","8","23","2","5","4","0","69","14814"
"Kenley Jansen","Dodgers","5","3","3.71","62","0","0","0","33","0","8","63.0","263","51","28","26","9","16","0","4","2","3","80","3096"
"Richard Rodriguez","Pirates","4","5","3.72","72","0","0","0","1","16","4","65.1","285","65","30","27","14","23","3","2","1","0","63","13549"
"Brian Schlitter","Athletics","0","0","3.72","6","0","0","0","0","0","0","9.2","41","12","4","4","0","4","0","0","1","0","6","3599"
"Josh Staumont","Royals","0","0","3.72","16","0","0","0","0","0","1","19.1","88","21","13","8","4","10","1","1","0","0","15","18335"
"Genesis Cabrera","Cardinals","0","0","3.75","11","0","0","0","1","1","0","12.0","56","10","7","5","0","7","0","2","1","0","14","17490"
"Carlos Estevez","Rockies","2","2","3.75","71","0","0","0","0","11","2","72.0","308","70","34","30","12","23","1","1","1","1","81","14542"
"Robert Stephenson","Reds","3","2","3.76","57","0","0","0","0","11","4","64.2","262","43","30","27","9","24","4","0","3","0","81","13594"
"Andrew Chafin","Diamondbacks","2","2","3.76","77","0","0","0","0","23","4","52.2","225","52","23","22","6","18","0","2","2","0","68","12988"
"Tyler Webb","Cardinals","2","1","3.76","65","0","0","0","1","8","0","55.0","221","33","23","23","7","23","3","2","2","0","48","14974"
"Josh Tomlin","Braves","2","1","3.77","50","0","0","0","2","7","2","76.1","307","78","34","32","14","7","0","0","2","0","48","9388"
"Jake Newberry","Royals","1","0","3.77","27","0","0","0","0","4","1","31.0","137","29","13","13","7","16","2","1","0","0","29","15136"
"Wei-Chung Wang","- - -","3","0","3.77","25","0","0","0","0","0","0","31.0","129","27","13","13","4","14","0","1","0","1","18","14382"
"Matt Barnes","Red Sox","5","4","3.78","70","0","0","0","4","26","8","64.1","285","51","29","27","8","38","2","2","13","1","110","12863"
"J. D. Hammer","Phillies","1","0","3.79","20","0","0","0","0","0","1","19.0","81","15","8","8","2","12","0","0","1","0","13","19548"
"Marcus Walden","Red Sox","9","2","3.81","70","0","0","0","2","6","4","78.0","327","61","38","33","6","32","1","5","6","1","76","8004"
"A.J. Cole","Indians","3","1","3.81","25","0","0","0","1","0","0","26.0","118","31","16","11","4","8","0","0","0","0","30","11467"
"Ryne Harper","Twins","4","2","3.81","61","0","0","0","1","12","3","54.1","225","54","25","23","7","10","0","1","5","0","50","12680"
"Luke Jackson","Braves","9","2","3.84","70","0","0","0","18","9","7","72.2","315","76","34","31","10","26","4","2","3","0","106","11752"
"Chandler Shepherd","Orioles","0","0","3.86","2","0","0","0","0","0","0","7.0","31","8","3","3","0","3","0","0","1","0","5","16166"
"T.J. Zeuch","Blue Jays","1","0","3.86","2","0","0","0","0","0","0","9.1","40","8","5","4","0","5","0","0","1","0","9","19269"
"Andrew Cashner","Red Sox","1","1","3.86","19","0","0","0","1","4","0","23.1","95","17","10","10","1","12","0","0","2","0","21","8782"
"Ryan Yarbrough","Rays","8","1","3.86","14","0","0","0","0","0","0","56.0","223","48","26","24","6","9","1","1","0","0","46","16502"
"Jose Osuna","Pirates","0","0","3.86","2","0","0","0","0","0","0","2.1","9","3","1","1","1","0","0","0","0","0","0","12937"
"Victor Arano","Phillies","1","0","3.86","3","0","0","0","0","0","0","4.2","16","2","2","2","1","2","0","0","0","0","7","15915"
"John Curtiss","Angels","0","0","3.86","1","0","0","0","0","0","0","2.1","12","2","1","1","0","3","0","0","0","0","1","16128"
"Justin Shafer","Blue Jays","2","1","3.86","34","0","0","0","1","3","0","39.2","182","41","19","17","6","25","4","1","1","0","39","16132"
"Dillon Peters","Angels","1","0","3.86","5","0","0","0","0","0","0","16.1","69","18","7","7","4","3","0","1","0","0","13","18790"
"Heath Hembree","Red Sox","1","0","3.86","45","0","0","0","2","4","1","39.2","173","34","20","17","7","18","2","3","2","0","46","11632"
"Jerry Blevins","Braves","1","0","3.90","45","0","0","0","1","10","0","32.1","141","25","15","14","5","16","2","2","2","0","37","7841"
"Juan Minaya","White Sox","0","0","3.90","22","0","0","0","0","0","0","27.2","126","31","13","12","4","12","0","2","3","0","27","10341"
"Tanner Rainey","Nationals","2","3","3.91","52","0","0","0","0","9","3","48.1","214","32","22","21","6","38","2","4","7","0","74","17610"
"Andres Munoz","Padres","1","1","3.91","22","0","0","0","1","8","1","23.0","97","16","10","10","2","11","0","0","1","1","30","20373"
"Nick Vincent","- - -","1","3","3.92","31","0","0","0","0","1","0","43.2","187","43","20","19","7","12","3","4","0","1","47","7555"
"Gregory Soto","Tigers","0","2","3.93","26","0","0","0","0","2","1","34.1","162","43","17","15","3","21","1","0","4","0","29","19677"
"Phillips Valdez","Rangers","0","0","3.94","11","0","0","0","0","0","0","16.0","75","17","7","7","3","9","0","2","1","0","18","15605"
"Adam Morgan","Phillies","3","3","3.94","40","0","0","0","0","19","2","29.2","120","20","14","13","4","10","1","3","0","0","29","12580"
"Devin Williams","Brewers","0","0","3.95","13","0","0","0","0","2","0","13.2","67","18","9","6","2","6","0","2","1","0","14","15816"
"Darwinzon Hernandez","Red Sox","0","0","3.95","28","0","0","0","0","2","0","27.1","129","24","14","12","1","21","1","3","4","0","50","19848"
"Roenis Elias","- - -","4","2","3.96","48","0","0","0","14","2","3","50.0","216","46","32","22","10","18","1","1","1","1","47","12673"
"Ty Buttrey","Angels","6","7","3.98","72","0","0","0","2","26","4","72.1","309","69","34","32","8","23","0","5","6","0","84","14719"
"Oliver Perez","Indians","2","4","3.98","67","0","0","0","1","22","4","40.2","173","38","20","18","5","12","2","3","1","0","48","1514"
"Ryan Weber","Red Sox","1","3","3.99","15","0","0","0","0","0","0","29.1","128","32","15","13","3","6","0","1","1","0","22","10160"
"Freddy Peralta","Brewers","5","1","4.01","31","0","0","0","1","5","1","49.1","212","40","26","22","6","26","1","0","1","0","69","18679"
"Seranthony Dominguez","Phillies","3","0","4.01","27","0","0","0","0","9","2","24.2","110","24","13","11","3","12","0","1","1","0","29","19249"
"Justin Miller","Nationals","1","0","4.02","17","0","0","0","0","4","1","15.2","65","16","8","7","5","4","0","2","0","0","11","8580"
"Jared Hughes","- - -","5","5","4.04","72","0","0","0","1","7","3","71.1","289","57","37","32","13","27","1","2","1","0","54","9325"
"Sean Doolittle","Nationals","6","5","4.05","63","0","0","0","29","2","6","60.0","260","63","27","27","11","15","2","2","0","0","66","1581"
"Chaz Roe","Rays","1","3","4.06","71","0","0","0","1","23","4","51.0","229","49","27","23","3","31","2","1","3","1","65","9866"
