Name,playerId,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,RHH_OPS,RHH_HR/9,RHH_SO/BB,RHH_ERA,RHH_WHIP
Shawn Armstrong,12857,2 Tms,34.2,170,6.4904,48,11,1,25,25,6,17,1,3,43,0.324324324,0.4,0.533783783,0.389586486,0.933783783,1.578947368,2.529411765,6.4904,1.900584795
Matt Barnes,12863,BOS,39,169,3.2308,35,7,0,15,14,5,16,0,0,60,0.231788079,0.303571428,0.377483443,0.29321434,0.681054871,1.153846154,3.75,3.2308,1.307692308
Alex Claudio,12890,MIL,28.2,130,5.0232,31,8,1,16,16,4,15,2,0,21,0.274336283,0.356589147,0.469026548,0.343678998,0.825615695,1.276595745,1.4,5.0232,1.631205674
Ken Giles,12910,TOR,27.1,109,0.9878,20,7,0,3,3,1,10,1,0,47,0.202020202,0.275229357,0.303030303,0.250964104,0.57825966,0.332103321,4.7,0.9878,1.10701107
Archie Bradley,12918,ARI,41.2,176,1.728,33,6,0,9,8,3,18,1,5,41,0.22,0.32,0.32,0.283449736,0.64,0.655339806,2.277777778,1.728,1.237864078
Gabriel Ynoa,12938,BAL,27.1,117,2.9634,30,3,0,11,9,4,7,1,0,22,0.272727272,0.316239316,0.409090909,0.306473028,0.725330225,1.328413284,3.142857143,2.9634,1.365313653
Andrew Chafin,12988,ARI,21.1,90,5.0625,20,0,0,13,12,3,10,0,0,29,0.256410256,0.34090909,0.371794871,0.312555419,0.712703961,1.279620853,2.9,5.0625,1.421800948
Colten Brewer,12997,BOS,31.2,151,4.5474,38,10,0,17,16,4,23,0,0,25,0.299212598,0.403973509,0.472440944,0.375312148,0.876414453,1.153846154,1.086956522,4.5474,1.955128205
Wei-Yin Chen,13071,MIA,42.1,195,5.9528,56,14,2,28,28,8,13,2,2,41,0.31638418,0.367875647,0.553672316,0.379406923,0.921547963,1.710213777,3.153846154,5.9528,1.638954869
Derek Law,13133,TOR,28,133,5.1429,30,7,0,18,16,5,17,0,3,33,0.27027027,0.378787878,0.468468468,0.361817538,0.847256346,1.607142857,1.941176471,5.1429,1.678571429
Kyle Crick,13182,PIT,27.1,128,6.2561,24,3,0,21,19,7,23,0,2,37,0.235294117,0.3828125,0.470588235,0.364972285,0.853400735,2.324723247,1.608695652,6.2561,1.734317343
Joe Biagini,13194,2 Tms,39.2,167,2.9496,38,8,1,14,13,4,16,1,1,37,0.253333333,0.329341317,0.4,0.312254751,0.729341317,0.918367347,2.3125,2.9496,1.37755102
Adrian Sampson,13339,TEX,30,130,5.7,30,10,1,20,19,5,10,1,3,24,0.260869565,0.33076923,0.495652173,0.340605721,0.826421403,1.5,2.4,5.7,1.333333333
Luis Cessa,13345,NYY,49.1,203,3.8311,40,8,0,25,21,10,19,1,2,44,0.223463687,0.30049261,0.435754189,0.307543403,0.736246799,1.83299389,2.315789474,3.8311,1.201629328
Cam Bedrosian,13360,LAA,26,112,5.5385,26,3,1,23,16,3,6,0,2,25,0.252427184,0.303571428,0.388349514,0.295538869,0.691920942,1.038461538,4.166666667,5.5385,1.230769231
Dylan Floro,13394,LAD,33,133,4.3636,26,4,1,18,16,2,6,1,1,27,0.211382113,0.251908396,0.308943089,0.238215161,0.560851485,0.545454545,4.5,4.3636,0.96969697
Felix Pena,13403,LAA,38.1,148,4.2261,22,3,0,21,18,5,10,0,1,42,0.160583941,0.222972972,0.291970802,0.223948215,0.514943774,1.181102362,4.2,4.2261,0.839895013
Drew VerHagen,13424,DET,25,105,5.04,29,4,0,14,14,4,7,0,2,22,0.302083333,0.361904761,0.46875,0.35387664,0.830654761,1.44,3.142857143,5.04,1.44
Mike Morin,13442,2 Tms,29.2,121,6.3708,28,6,0,23,21,6,4,0,2,15,0.24778761,0.283333333,0.460176991,0.308754399,0.743510324,1.849315068,3.75,6.3708,1.095890411
Taylor Rogers,13449,MIN,53,206,3.0566,40,8,0,18,18,7,7,2,4,65,0.208333333,0.251231527,0.359375,0.255614847,0.610606527,1.188679245,9.285714286,3.0566,0.886792453
Brandon Brennan,13527,SEA,30.2,117,3.5217,18,4,0,12,12,3,12,1,0,30,0.174757281,0.256410256,0.300970873,0.240036074,0.557381129,0.894039735,2.5,3.5217,0.993377483
Richard Rodriguez,13549,PIT,39.1,162,3.2034,33,2,0,15,14,6,12,0,0,36,0.22147651,0.279503105,0.355704697,0.273877396,0.635207802,1.381074169,3,3.2034,1.150895141
