Name,playerId,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,RHH_OPS,RHH_HR/9,RHH_SO/BB,RHH_ERA,RHH_WHIP
Phil Maton,18064,2 Tms,22.2,98,5.5588,21,5,1,15,14,6,7,0,1,21,0.235955056,0.298969072,0.516853932,0.336363875,0.815823004,2.432432432,3,5.5588,1.261261261
Jarlin Garcia,18282,MIA,30,122,4.2,21,2,0,14,14,4,11,2,2,26,0.194444444,0.278688524,0.324074074,0.257388868,0.602762598,1.2,2.363636364,4.2,1.066666667
Tyler Kinley,18297,MIA,30.2,136,2.6413,26,2,0,9,9,3,22,1,1,29,0.234234234,0.362962962,0.333333333,0.311411118,0.696296295,0.894039735,1.318181818,2.6413,1.589403974
Nick Anderson,18337,2 Tms,35.2,141,1.7664,24,2,1,7,7,4,7,0,2,62,0.183206106,0.234042553,0.305343511,0.232441881,0.539386064,1.022727273,8.857142857,1.7664,0.880681818
Freddy Peralta,18679,MIL,30.2,129,5.8696,29,8,1,23,20,6,9,0,0,43,0.245762711,0.296875,0.483050847,0.322552327,0.779925847,1.78807947,4.777777778,5.8696,1.258278146
Jacob Webb,19274,ATL,21.1,86,2.1094,17,7,0,9,5,4,7,0,0,15,0.217948717,0.282352941,0.461538461,0.309699987,0.743891402,1.706161137,2.142857143,2.1094,1.137440758
Edgar Garcia,19276,PHI,26.2,113,4.3875,23,2,0,13,13,6,16,1,0,32,0.242105263,0.348214285,0.452631578,0.337559203,0.800845863,2.061068702,2,4.3875,1.488549618
Caleb Ferguson,19349,LAD,22.1,106,6.0448,22,5,0,17,15,3,16,1,4,29,0.261904761,0.4,0.428571428,0.358728003,0.828571428,1.221719457,1.8125,6.0448,1.719457014
Colin Poche,19403,TBR,32,130,4.5,22,3,1,16,16,6,12,1,2,46,0.189655172,0.276923076,0.387931034,0.281264986,0.66485411,1.6875,3.833333333,4.5,1.0625
Gregory Soto,19677,DET,24,111,4.125,28,8,0,12,11,3,17,1,0,19,0.29787234,0.405405405,0.478723404,0.376181432,0.884128809,1.125,1.117647059,4.125,1.875
Yoshihisa Hirano,19756,ARI,30.2,133,4.6956,29,8,0,17,16,3,12,1,3,33,0.247863247,0.330827067,0.393162393,0.310270758,0.72398946,0.894039735,2.75,4.6956,1.357615894
